last_name, first_name,player_id,year,pitch_hand,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z
Sampson, Adrian,592716,2022,R,92.5,2075,-10.2,-17.3,87.7,2616,10.4,-41.7,85.1,1816,-15.9,-31.6,,,,,91.9,2003,-14.4,-21.3,84.9,2493,3.3,-37.6,,,,
Sanchez, Aaron,592717,2022,R,92.4,2140,-11.2,-18.2,,,,,87.8,1708,-15.8,-29.3,79.1,2632,12.8,-54.6,92.1,2131,-16.4,-22.5,,,,,,,,
Shreve, Chasen,592741,2022,L,90.6,2338,10.7,-15.6,88.6,2272,-5.9,-47,,,,,,,,,,,,,,,,,82.9,989,11.3,-35.8
Smith, Caleb,592761,2022,L,91.9,2429,10.9,-13.9,79.3,2332,-3.1,-29.2,83.6,2130,13.7,-24.2,78.9,2410,-5.3,-48.6,,,,,,,,,,,,
Smyly, Drew,592767,2022,L,,,,,85.2,,,,82.6,1300,6,-29.2,78.7,2119,2.6,-44.2,92.6,2158,8,-14.8,88.6,2103,3.6,-23.6,,,,
Stanek, Ryne,592773,2022,R,98.3,2307,-10.2,-10.8,81.4,2513,2.3,-38,,,,,,,,,,,,,,,,,88.6,1040,-12.3,-31
Syndergaard, Noah,592789,2022,R,94.1,2136,-5.8,-16.7,86.2,2153,5.8,-36.7,88.5,1543,-15.1,-26.8,76.4,2131,11.3,-47.8,93.6,2125,-14.1,-20.8,,,,,,,,
Taillon, Jameson,592791,2022,R,94.1,2370,-5.7,-13.2,,2556,6.2,-32.6,87.7,1845,-14,-24.7,81.1,2734,9.2,-51.9,94.2,2298,-13.6,-16.2,90.7,2533,2.9,-20.7,,,,
Velasquez, Vince,592826,2022,R,93.2,2417,-5.1,-13.1,77,2502,6.5,-33.8,88.1,1541,-12.2,-28.4,81.5,2361,4.4,-50.6,91.9,2259,-12.3,-18.5,,,,,,,,
Walker, Taijuan,592836,2022,R,93.7,2149,-10.1,-14,,2403,5.3,-32.6,,,,,75,2226,7,-60.5,92.9,2023,-15.2,-18.9,88.6,2329,1.5,-23,88.8,1447,-10.8,-32.6
Wick, Rowan,592858,2022,R,94.9,2255,-2.8,-12.7,80.9,2149,11.8,-37.5,82.9,723,-12.6,-37.4,76.8,2604,7.5,-65.6,91.7,1777,-12.9,-20.1,93.1,2240,2.5,-16.9,,,,
Williams, Trevor,592866,2022,R,91.2,2242,-6.9,-19.9,84.7,2248,5.6,-37.1,84.4,1797,-13.9,-33.6,78.6,2256,11,-42,89,1918,-15.6,-30.9,,,,,,,,
